id,eng_name,thai_name,type,brand,model,serial,in/out,department,recorder,recorder_ch,ip,mac_address,status,account_no,image,map_id,x,y
N2C1002,Auto_C," Auto C",Bullet,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929319,"In door",2แพคกิ้ง,N2,1002,192.168.20.39,,Active,N2C1002,,1,52.4600,34.7100
N3C1502,Y_way_STL,"3 แยก บ่อบาดาล",Bullet,Hikvision,DS-2CD3021G0-I,DS-2CD3021G0-I20231211AAWRAX8219184,"Out door",2เครื่องกล,N3,1502,192.168.20.65,,Active,N3C1502,,1,47.0700,22.4100
N2C1502,Seal,"ซิล GB",Bullet,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929374,"In door",2แพคกิ้ง,N2,1502,192.168.20.45,,Active,N2C1502,,1,50.5100,46.8300
PR40,CM1-PR40,PR40,Bullet,Hikvision,,,"In door",1ผลิต,,,,,Active,PR40,,13,58.7800,49.0700
CONNETTA48,CM1-CONNETTA48,CONNETTA48,Bullet,Hikvision,,,"In door",1แพคกิ้ง,,,,,Active,CONNETTA48,,13,85.2700,44.5200
N2C1602,GB_Weightier,"ชั่ง GB",Bullet,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929377,"In door",2แพคกิ้ง,N2,1602,192.168.20.46,,Active,N2C1602,,1,50.5500,42.1400
RM61,CM1-RM61,RM61,Bullet,Hikvision,,,"In door",1รับวัตถุดิบ,,,,,Active,RM61,,13,87.5700,20.3200
C38.0761,C38.0761,คเชนทร์,UPS,APC,800,DS-2CD3021G0-I20240821AAWRFM4617258,"In door",2เทคโนโลยีสารสนเทศ,N4,202,,,Active,C38.0761,,1,53.8400,51.3300
RM69,CM1-RM69,RM69,Bullet,Hikvision,,,"In door",1รับวัตถุดิบ,,,,,Active,RM69,,13,99.1100,34.9500
PA25,CM1-PA25,PA25,Bullet,Hikvision,,,"In door",1แพคกิ้ง,,,,,Active,PA25,,13,40.0100,33.0300
PR55,CM1-PR55,PR55,Bullet,Hikvision,,,"In door",1ผลิต,,,,,Active,PR55,,13,72.1900,42.3300
N4C1102,Chemical_PR,ห้องสารเคมีผลิต,Dome,Hikvision,,,"In door",2ผลิต,N4,1102,192.168.20.75,,Active,N4C1102,,1,78.6200,28.0300
N3C402,cutter_line_1,"สายพานไลน์ 1",Bullet,Hikvision,DS-2CD3021G0-I,I20231211AAWRAX8234345,"In door",2ผลิต,N3,402,192.168.20.51,,Active,N3C402,,1,69.6700,31.7700
RM73,CM1-RM73,RM73,Bullet,Hikvision,,,"In door",1รับวัตถุดิบ,,,,,Active,RM73,,13,98.6600,58.6100
ST15,CM1-ST15,ST15,Bullet,Hikvision,,,"In door",1สโตร์ฯ,,,,,Active,ST15,,13,20.8800,87.8500
N4C702,CD5,"ห้องเย็น 5",Bullet,Hikvision,,,"In door",2สโตร์ฯ,N4,702,192.168.20.87,,Active,N4C702,,1,60.3500,40.3300
N1C1602,Dry_store_warehouse,สโตร์แห้ง,Bullet,Hikvision,DS-2CD1023G0E-I,I20210228AAWRF59489513,"In door",2สโตร์ฯ,N1,1602,192.168.20.17,,Active,N1C1602,,1,38.7500,18.1800
PR59,CM1-PR59,PR59,Bullet,Hikvision,,,"In door",1ผลิต,,,,,Active,PR59,,13,53.7600,58.9500
ST19,CM1-ST19,ST19,Bullet,Hikvision,,,"In door",1สโตร์ฯ,,,,,Active,ST19,,13,16.0400,77.1000
N2C102,Wash_line2,"ถังล้าง ไลน์ 2",Bullet,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929269,"In door",2ผลิต,N2,102,192.168.20.30,,Active,N2C102,,1,63.2500,29.9400
PR38,CM1-PR38,PR38,Bullet,Hikvision,,,"In door",1ผลิต,,,,,Active,PR38,,13,81.8600,37.9100
