asset_code,asset_name,holder,type,brand,model,serial,department,ip,mac_address,status,image,map_id,x,y
N1C1302,Motorcycle_garage,"โรงจอดรถ ตะวันตก",Camera,Hikvision,DS-2CD2027G1-L,L20201106AAWRF05200774,2บุคคลฯ,192.168.0.214,,Active,,1,23.1100,55.1500
N1C402,ExitDoor_Office,"ทางออกฉุกเฉิน สำนักงาน",Camera,Hikvision,DS-2CD2025FWD-I,I20190118AAWRC89463381,2บุคคลฯ,192.168.20.5,,Active,,4,72.7400,91.4900
PR43,CM1-PR43,PR43,Camera,Hikvision,,,1ผลิต,,,Active,,13,59.9500,45.8900
N2C902,Auto_D,"Auto D",Camera,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929293,2แพคกิ้ง,192.168.20.38,,Active,,1,53.2700,34.7300
PA34,CM1-PA34,PA34,Camera,Hikvision,,,1แพคกิ้ง,,,Active,,13,41.2900,58.9300
CONNETTA50,CM1-CONNETTA50,CONNETTA50,Camera,Hikvision,,,1แพคกิ้ง,,,Active,,13,91.4300,43.2400
N3C902,check_bag_GB,"เช็คถุง GB",Camera,Hikvision,DS-2CD3021G0-I,,2แพคกิ้ง,192.168.20.63,,Active,,1,47.3100,46.2400
N3C802,load_RM,"ช่องจอดรถ รับวัตถุดิบ",Camera,Hikvision,DS-2CD3021G0-I,,2รับวัตถุดิบ,192.168.20.53,,Active,,1,72.2400,37.0300
ST17,CM1-ST17,ST17,Camera,Hikvision,,,1สโตร์ฯ,,,Active,,13,16.9000,96.5600
N4C1402,Water_tredment,บ่อบำบัด,Camera,Hikvision,,,2สิ่งแวดล้อม,192.168.20.72,,Active,,1,79.2500,26.6500
N1C1802,FN_gb,"บรรจุกล่อง GB",Camera,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929376,2แพคกิ้ง,192.168.20.19,,Active,,1,53.6500,47.2500
N1C1402,Data_center,ห้องกล้องวงจรปิด,Camera,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929272,2เทคโนโลยีสารสนเทศ,192.168.20.42,,Active,,1,49.1800,49.9500
N4C402,Larn_Load,ลานโหลด,Camera,Hikvision,DS-2CD3021G0-I,DS-2CD3021G0-I20240821AAWRFM4617264,2สโตร์ฯ,192.168.20.84,,Active,,1,65.7400,50.6300
N4C1802,dress_room_PA,"ห้องแขวนชุด แพคกิ้ง",Camera,Hikvision,,,2แพคกิ้ง,192.168.20.92,,Active,,1,48.4400,44.2000
PR54,CM1-PR54,PR54,Camera,Hikvision,,,1ผลิต,,,Active,,13,73.0000,31.6700
N1C302,Front_Office,"ประตูใหญ่ สำนักงาน",Camera,Hikvision,DS-2CD2025FWD-I,I20190118AAWRC89463460,2บุคคลฯ,192.168.20.4,,Active,,1,50.7300,56.2500
RM68,CM1-RM68,RM68,Camera,Hikvision,,,1รับวัตถุดิบ,,,Active,,13,98.6200,33.0100
PR41,CM1-PR41,PR41,Camera,Hikvision,,,1ผลิต,,,Active,,13,48.9600,43.7000
N4C1902,Control_MC,"ห้องควบคุม เครื่องกล",Camera,Hikvision,,,2เครื่องกล,192.168.20.97,,Active,,1,65.1500,26.7300
PA36,CM1-PA36,PA36,Camera,Hikvision,,,1แพคกิ้ง,,,Active,,13,30.8500,36.2900
PR71,CM1-PR71,PR71,Camera,Hikvision,,,1ผลิต,,,Active,,13,,
CONNETTA49,CM1-CONNETTA49,CONNETTA49,Camera,Hikvision,,,1แพคกิ้ง,,,Active,,13,89.7800,40.1900
N3C102,hand_wash_PR,"ล้างมือ ผลิต",Camera,Hikvision,DS-2CD3021G0-I,I20231211AAWRAX8234354,2ผลิต,192.168.20.57,,Active,,1,76.8300,29.0700
N1C2302,Auto_detector,"ตรวจสอบโลหะ Auto",Camera,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929288,2แพคกิ้ง,192.168.20.26,,Active,,1,50.5300,32.9700
ST46,CM1-ST46,ST46,Camera,Hikvision,,,1สโตร์ฯ,,,Active,,13,14.2200,80.6500
PA27,CM1-PA27,PA27,Camera,Hikvision,,,1แพคกิ้ง,,,Active,,13,30.9800,58.8200
MC63,CM1-MC63,MC63,Camera,Hikvision,,,1เครื่องกล,,,Active,,13,55.1200,42.7400
RM65,CM1-RM65,RM65,Camera,Hikvision,,,1รับวัตถุดิบ,,,Active,,13,89.4000,20.7500
OS08,CM1-OS08,OS08,Camera,Hikvision,,,1บุคคลฯ,,,Active,,13,15.2400,12.0000
